Date,Open,High,Low,Close,Adj Close,Volume
2010-11-29,40.630001,42.540001,39.799999,42.349998,42.349998,605500
2010-12-06,42.279999,43.590000,41.820000,43.419998,43.419998,459100
2010-12-13,43.529999,45.139999,43.400002,45.080002,45.080002,1041500
2010-12-20,45.139999,45.250000,43.910000,44.470001,44.470001,528800
2010-12-27,44.400002,44.669998,43.900002,43.970001,43.970001,392900
2011-01-03,44.380001,45.130001,44.040001,44.709999,44.709999,619700
2011-01-10,44.480000,46.369999,43.560001,46.340000,46.340000,1012700
2011-01-17,46.169998,47.610001,46.169998,46.459999,46.459999,691700
2011-01-24,46.340000,48.880001,46.279999,47.430000,47.430000,1004800
2011-01-31,47.660000,49.090000,46.810001,48.849998,48.849998,807500
2011-02-07,48.810001,50.580002,48.759998,50.540001,50.540001,689400
2011-02-14,50.509998,53.349998,50.080002,52.369999,52.369999,795700
2011-02-21,51.970001,52.619999,50.340000,52.570000,52.570000,886500
2011-02-28,52.779999,52.959999,50.340000,51.340000,51.340000,913000
2011-03-07,51.430000,52.419998,49.509998,50.150002,50.150002,701600
2011-03-14,49.580002,50.410000,48.150002,50.110001,50.110001,800400
2011-03-21,50.680000,51.689999,50.330002,50.889999,50.889999,573600
2011-03-28,50.900002,52.450001,50.330002,51.700001,51.700001,543800
2011-04-04,51.889999,52.419998,50.070000,50.240002,50.240002,409400
2011-04-11,50.200001,50.410000,47.240002,48.099998,48.099998,601200
2011-04-18,47.200001,47.990002,46.400002,47.700001,47.700001,528600
2011-04-25,47.570000,51.139999,47.099998,50.490002,50.490002,1039600
2011-05-02,50.779999,51.020000,48.610001,48.990002,48.990002,851600
2011-05-09,48.939999,50.040001,48.639999,49.000000,49.000000,674000
2011-05-16,48.619999,49.439999,48.020000,48.840000,48.840000,988800
2011-05-23,47.959999,48.660000,47.450001,48.520000,48.520000,778900
2011-05-30,48.980000,49.200001,46.740002,46.880001,46.880001,994400
2011-06-06,46.810001,47.349998,43.820000,44.360001,44.360001,1867400
2011-06-13,44.549999,48.090000,44.040001,47.369999,47.369999,1589000
2011-06-20,47.209999,49.389999,47.209999,47.799999,47.799999,834600
2011-06-27,47.849998,51.189999,47.680000,50.970001,50.970001,814000
2011-07-04,50.889999,51.680000,50.369999,50.520000,50.520000,538900
2011-07-11,48.630001,50.500000,48.630001,49.450001,49.450001,1061800
2011-07-18,49.380001,51.980000,48.529999,51.880001,51.880001,784200
2011-07-25,51.270000,55.000000,49.119999,54.230000,54.230000,1050700
2011-08-01,54.680000,54.759998,51.279999,52.020000,52.020000,1577000
2011-08-08,50.520000,52.000000,45.959999,50.490002,50.490002,1898500
2011-08-15,50.880001,51.680000,46.750000,47.540001,47.540001,990600
2011-08-22,48.650002,52.990002,47.919998,51.930000,51.930000,792900
2011-08-29,52.419998,55.459999,51.040001,51.189999,51.189999,1040200
2011-09-05,49.540001,52.320000,49.310001,50.139999,50.139999,913200
2011-09-12,49.430000,53.590000,49.220001,53.000000,53.000000,1036800
2011-09-19,52.110001,52.770000,44.860001,47.279999,47.279999,1128200
2011-09-26,47.689999,51.189999,46.720001,48.860001,48.860001,1178200
2011-10-03,48.599998,52.650002,45.590000,50.820000,50.820000,1058200
2011-10-10,51.970001,54.869999,51.279999,54.680000,54.680000,647100
2011-10-17,54.080002,55.480000,52.230000,55.400002,55.400002,798800
2011-10-24,55.500000,60.910000,55.299999,56.009998,56.009998,1176600
2011-10-31,55.000000,55.340000,52.349998,54.619999,54.619999,1029700
2011-11-07,54.720001,56.150002,53.450001,55.660000,55.660000,716600
2011-11-14,55.290001,56.639999,53.389999,54.200001,54.200001,741500
2011-11-21,53.110001,53.180000,49.799999,50.709999,50.709999,734600
2011-11-28,52.639999,57.049999,52.369999,54.900002,54.900002,883800
2011-12-05,55.480000,55.860001,52.919998,54.810001,54.810001,612700
2011-12-12,54.020000,55.480000,52.400002,52.759998,52.759998,1314400
2011-12-19,53.220001,57.240002,52.410000,56.650002,56.650002,752300
2011-12-26,56.320000,57.099998,54.830002,54.849998,54.849998,460600
2012-01-02,56.240002,56.660000,54.740002,55.580002,55.580002,494200
2012-01-09,55.930000,56.340000,54.820000,55.590000,55.590000,550000
2012-01-16,56.150002,56.799999,55.560001,56.660000,56.660000,531300
2012-01-23,56.660000,57.709999,55.020000,55.400002,55.400002,824600
2012-01-30,54.759998,59.610001,54.759998,59.310001,59.310001,1155900
2012-02-06,58.930000,60.439999,58.450001,59.730000,59.730000,710400
2012-02-13,60.110001,62.130001,59.639999,62.110001,62.110001,1006600
2012-02-20,62.110001,62.290001,60.060001,60.939999,60.939999,529300
2012-02-27,60.349998,61.430000,57.520000,58.200001,58.200001,790800
2012-03-05,57.900002,59.119999,56.459999,58.759998,58.759998,658500
2012-03-12,58.610001,61.490002,57.970001,60.939999,60.939999,797800
2012-03-19,60.939999,62.200001,59.450001,61.779999,61.779999,744100
2012-03-26,62.450001,63.830002,61.880001,63.049999,63.049999,891500
2012-04-02,62.680000,63.549999,61.490002,61.779999,61.779999,579400
2012-04-09,60.520000,62.450001,59.730000,61.740002,61.740002,898500
2012-04-16,62.150002,63.290001,61.250000,62.840000,62.840000,718500
2012-04-23,61.880001,66.290001,60.939999,65.730003,65.730003,815600
2012-04-30,65.599998,65.639999,61.820000,61.880001,61.880001,952100
2012-05-07,61.669998,62.099998,60.099998,61.060001,61.060001,915800
2012-05-14,60.240002,62.209999,59.290001,59.540001,59.540001,886000
2012-05-21,59.900002,60.779999,58.990002,59.840000,59.840000,616900
2012-05-28,60.139999,60.750000,57.139999,57.150002,57.150002,673000
2012-06-04,57.490002,62.740002,56.900002,61.959999,61.959999,909100
2012-06-11,62.660000,62.830002,60.310001,62.200001,62.200001,816300
2012-06-18,61.730000,63.340000,60.720001,60.990002,60.990002,741700
2012-06-25,60.029999,61.730000,59.060001,61.650002,61.650002,613300
2012-07-02,61.930000,63.799999,61.400002,61.820000,61.820000,718200
2012-07-09,61.660000,62.889999,59.070000,61.660000,61.660000,636700
2012-07-16,61.639999,63.549999,60.840000,62.720001,62.720001,588900
2012-07-23,61.540001,65.949997,60.230000,63.570000,63.570000,1091300
2012-07-30,63.180000,64.489998,60.500000,64.230003,64.230003,1507700
2012-08-06,64.000000,64.839996,63.580002,64.190002,64.190002,604700
2012-08-13,64.209999,64.860001,63.259998,64.790001,64.790001,556200
2012-08-20,64.529999,65.690002,63.799999,65.190002,65.190002,997700
2012-08-27,65.449997,65.449997,63.630001,64.510002,64.510002,399800
2012-09-03,64.410004,66.139999,63.279999,65.519997,65.519997,518200
2012-09-10,65.589996,66.220001,63.790001,64.870003,64.870003,864100
2012-09-17,64.330002,65.139999,64.110001,64.400002,64.400002,767200
2012-09-24,64.059998,64.820000,63.040001,63.389999,63.389999,585500
2012-10-01,63.619999,65.459999,63.410000,64.459999,64.459999,535100
2012-10-08,64.050003,65.080002,63.160000,63.369999,63.369999,319200
2012-10-15,63.380001,65.470001,63.099998,64.529999,64.529999,598500
2012-10-22,64.470001,66.110001,61.450001,63.230000,63.230000,876600
2012-10-29,62.740002,65.489998,62.509998,63.689999,63.689999,554700
2012-11-05,63.770000,67.029999,60.660000,62.520000,62.520000,913800
2012-11-12,62.930000,62.930000,59.610001,60.720001,60.720001,905600
2012-11-19,61.360001,62.939999,61.130001,62.910000,62.910000,316900
2012-11-26,62.590000,64.290001,62.160000,63.000000,63.000000,618200
2012-12-03,63.490002,63.599998,61.869999,62.910000,62.910000,445300
2012-12-10,62.990002,64.540001,61.419998,61.709999,61.709999,670700
2012-12-17,62.000000,65.599998,61.810001,65.199997,65.199997,1139200
2012-12-24,64.849998,65.089996,63.590000,63.669998,63.669998,259900
2012-12-31,63.529999,67.379997,63.000000,66.690002,66.690002,628300
2013-01-07,66.139999,68.309998,65.800003,67.730003,67.730003,870600
2013-01-14,67.550003,68.080002,66.839996,68.000000,68.000000,535800
2013-01-21,67.839996,72.309998,67.839996,71.000000,71.000000,1273400
2013-01-28,70.940002,71.000000,68.190002,68.949997,68.949997,1054500
2013-02-04,68.529999,70.290001,67.970001,69.870003,69.870003,633700
2013-02-11,69.650002,70.830002,69.239998,70.629997,70.629997,507100
2013-02-18,70.589996,72.209999,70.400002,71.470001,71.470001,573500
2013-02-25,71.769997,74.410004,70.839996,74.230003,74.230003,933500
2013-03-04,73.910004,76.550003,72.720001,76.489998,76.489998,520400
2013-03-11,76.279999,78.529999,75.970001,78.519997,78.519997,598500
2013-03-18,77.730003,78.099998,75.879997,76.970001,76.970001,934800
2013-03-25,77.250000,78.709999,75.589996,78.440002,78.440002,377200
2013-04-01,78.459999,78.889999,74.540001,75.580002,75.580002,786300
2013-04-08,75.709999,78.889999,75.699997,78.330002,78.330002,534300
2013-04-15,77.910004,77.910004,72.489998,73.209999,73.209999,991700
2013-04-22,73.379997,76.040001,72.529999,74.820000,74.820000,833100
2013-04-29,74.940002,76.540001,73.750000,76.339996,76.339996,675400
2013-05-06,76.360001,78.150002,75.989998,77.559998,77.559998,426200
2013-05-13,77.190002,78.250000,76.480003,77.339996,77.339996,670000
2013-05-20,77.059998,77.459999,75.669998,77.019997,77.019997,534200
2013-05-27,78.040001,79.040001,77.180000,77.220001,77.220001,333700
2013-06-03,77.519997,78.209999,74.180000,75.559998,75.559998,723700
2013-06-10,75.820000,75.820000,73.360001,74.970001,74.970001,410000
2013-06-17,75.790001,77.790001,74.510002,75.910004,75.910004,605500
2013-06-24,75.370003,77.919998,73.519997,77.349998,77.349998,824000
2013-07-01,77.720001,79.910004,76.260002,79.290001,79.290001,493000
2013-07-08,79.830002,81.570000,79.260002,79.959999,79.959999,530300
2013-07-15,79.989998,80.879997,79.059998,80.440002,80.440002,465300
2013-07-22,80.449997,82.190002,80.150002,80.989998,80.989998,941700
2013-07-29,80.660004,83.290001,80.129997,82.320000,82.320000,947500
2013-08-05,82.110001,83.519997,81.070000,81.669998,81.669998,452200
2013-08-12,81.059998,81.860001,79.589996,80.309998,80.309998,483100
2013-08-19,80.449997,80.839996,78.870003,80.650002,80.650002,411200
2013-08-26,80.570000,80.930000,76.959999,77.169998,77.169998,417700
2013-09-02,78.099998,80.160004,76.970001,79.389999,79.389999,403800
2013-09-09,79.680000,83.120003,79.680000,82.760002,82.760002,388400
2013-09-16,84.059998,87.099998,83.000000,84.989998,84.989998,630700
2013-09-23,85.000000,85.540001,83.309998,84.809998,84.809998,432200
2013-09-30,83.769997,86.010002,83.559998,84.290001,84.290001,502400
2013-10-07,83.290001,87.230003,82.419998,87.169998,87.169998,397200
2013-10-14,86.870003,88.940002,86.120003,88.230003,88.230003,574300
2013-10-21,88.269997,91.190002,87.790001,90.250000,90.250000,794000
2013-10-28,90.139999,91.519997,86.980003,87.529999,87.529999,878600
2013-11-04,87.620003,90.080002,86.400002,87.510002,87.510002,636400
2013-11-11,87.410004,89.730003,86.690002,88.860001,88.860001,609600
2013-11-18,89.449997,91.099998,87.330002,90.790001,90.790001,528900
2013-11-25,90.779999,93.580002,89.930000,92.730003,92.730003,431800
2013-12-02,92.580002,92.800003,88.510002,90.699997,90.699997,508200
2013-12-09,90.699997,91.110001,87.330002,89.690002,89.690002,712700
2013-12-16,89.919998,91.419998,88.839996,90.760002,90.760002,942100
2013-12-23,91.029999,93.769997,90.709999,92.449997,92.449997,332200
2013-12-30,92.529999,92.599998,89.570000,90.070000,90.070000,395000
2014-01-06,90.209999,92.500000,89.160004,92.410004,92.410004,493000
2014-01-13,92.080002,94.480003,91.360001,93.059998,93.059998,519900
2014-01-20,93.260002,96.489998,91.980003,92.800003,92.800003,1224400
2014-01-27,93.050003,93.820000,90.779999,91.870003,91.870003,1056900
2014-02-03,91.870003,92.389999,87.500000,90.500000,90.500000,950000
2014-02-10,90.150002,94.570000,89.019997,94.190002,94.190002,733900
2014-02-17,94.320000,96.940002,93.440002,96.739998,96.739998,727200
2014-02-24,96.820000,99.360001,95.769997,97.980003,97.980003,887900
2014-03-03,97.300003,102.190002,95.860001,101.599998,101.599998,904500
2014-03-10,101.629997,102.400002,97.260002,97.790001,97.790001,915800
2014-03-17,98.510002,99.720001,97.750000,98.000000,98.000000,673100
2014-03-24,98.529999,98.830002,94.870003,95.139999,95.139999,570300
2014-03-31,95.889999,99.879997,95.500000,95.629997,95.629997,573900
2014-04-07,95.449997,95.739998,91.709999,92.440002,92.440002,586200
2014-04-14,93.709999,96.250000,91.540001,95.529999,95.529999,382400
